Dist Code,Year,State Code,State Name,Dist Name,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT,Inflation Index
72,1990,5,Karnataka,Chitradurga,843.9529628540669,754.1707327632087,790.0836247995519,685.9362378941564,3052.595823089178,4363.416382415707,3458.411503099857,100.0
72,1991,5,Karnataka,Chitradurga,1053.7273781439662,648.6910285871264,955.6326372356691,851.2092033655463,2290.9868521808758,4952.20224262855,3442.808971233139,100.0
72,1992,5,Karnataka,Chitradurga,930.6616579621685,565.7517677581571,776.4943012480707,842.9701339596542,2549.6546333634283,1847.179521730383,2296.9521770981178,100.0
72,1993,5,Karnataka,Chitradurga,1075.1654673995563,907.1571548683321,650.1000500555456,784.33123447997,2839.033416976715,1923.9803100834165,2476.696951831046,100.0
72,1994,5,Karnataka,Chitradurga,1161.9182716944952,1165.092911781092,700.0081390946343,709.5320593544253,2990.5109615743563,2823.8423570280147,2478.6002476105928,100.0
72,1995,5,Karnataka,Chitradurga,1040.8780686072446,1380.5788608723703,742.5510907846661,702.2660609327121,2460.653174740976,2794.9100440531347,2467.1858822845356,100.0
72,1996,5,Karnataka,Chitradurga,1044.2304075535592,958.7744260970803,808.7053854905807,723.2494040341019,2520.9514529661274,2878.4075705218866,2599.112411615346,100.0
72,1997,5,Karnataka,Chitradurga,931.1919309496992,789.618853653278,741.7631655530794,743.7571525572544,2570.2492483815035,3052.7941033918405,2382.814469989059,100.0
72,1998,5,Karnataka,Chitradurga,1199.6258756725103,721.2821199098454,716.5740120775356,781.5459001634094,2478.9757106387983,1843.6950271324768,2457.632288465661,99.99999999999999
72,1999,5,Karnataka,Chitradurga,1108.6364498833643,677.1966491898384,708.143807889374,797.3444417880354,2446.039151329963,1998.2155607366826,2321.036902465172,100.00000000000001
72,2000,5,Karnataka,Chitradurga,920.0339272838644,616.7729763221449,679.1336789142731,615.0644639223606,2342.370500104323,2078.1205822710126,1606.001655797275,100.0
72,2001,5,Karnataka,Chitradurga,760.3592503078686,568.6447384781069,659.627896634604,668.5637425249743,2373.6856083328976,2168.973502480779,2027.6246674876495,100.0
72,2002,5,Karnataka,Chitradurga,1114.5935111750782,827.6213553817794,808.5955770971408,734.0779454823062,2847.5248166009114,2547.868808617853,2620.8009587089678,100.00000000000001
72,2003,5,Karnataka,Chitradurga,1007.0743554839171,784.2836161541417,761.7034736545023,694.7157175722388,2619.2965299581697,2034.4708392175096,2443.1714184609827,100.0
72,2004,5,Karnataka,Chitradurga,896.6556133109809,734.2691636562363,655.1940229547955,649.5457986189783,2377.902445379042,1547.6134680139135,2223.9883322280234,100.0
72,2005,5,Karnataka,Chitradurga,909.2655996962166,697.87151094419,647.7331693812094,653.1535306312613,2047.5414622071285,1844.27791533018,2092.2594425200573,100.0
72,2006,5,Karnataka,Chitradurga,800.2932662765907,788.7690432422078,750.3549664609313,761.8791894953143,2445.696221741261,1527.5997866687562,2348.3805605620278,100.0
72,2007,5,Karnataka,Chitradurga,461.0157440439096,793.9715591867332,822.0227817079235,942.7650003860903,2374.5969673372806,2187.9953566528407,2955.1353116888704,100.0
72,2008,5,Karnataka,Chitradurga,861.2461641413511,744.6190794138764,854.5176784839967,859.0033355888996,2230.492995412952,2685.7871915605933,2465.9899934203527,100.0
72,2009,5,Karnataka,Chitradurga,967.4268396531401,727.4874536010024,888.5426579373687,804.1804080468911,2225.1912925657166,3985.842403916335,2908.854200769068,100.0
72,2010,5,Karnataka,Chitradurga,998.0,664.0,949.0,786.0,2498.3333333333335,3432.0,3021.0,100.0
72,2011,5,Karnataka,Chitradurga,934.9546248570525,606.555809384546,845.8895775453158,765.5026630485687,2709.099917718025,1947.5557012166448,2487.4269110754803,100.00000000000001
72,2012,5,Karnataka,Chitradurga,892.978503050132,565.2409209011321,949.162088561389,1476.9472857883497,2922.3977130325097,2934.3154432924734,2702.770969670323,99.99999999999999
72,2013,5,Karnataka,Chitradurga,867.7066156970175,536.2095791743318,859.2273979540498,1315.4900669804015,1628.817351196728,3845.5271325725425,2526.806887404344,100.0
72,2014,5,Karnataka,Chitradurga,859.4778029457708,518.8120555963562,964.9591696709336,907.1397538363999,2846.4342146649483,4748.224189546772,3365.2462702613043,100.0
72,2015,5,Karnataka,Chitradurga,894.2697442656405,539.8137365385321,1173.93228247235,1156.0468875870372,4005.108995567889,6009.492681465104,3629.1092167289266,100.0
72,2016,5,Karnataka,Chitradurga,894.7427602078674,540.09926616184,1307.951234922046,1861.0649412323642,5051.2295826280515,3416.2905389754937,3392.701866206377,100.0
