,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT
2017,1283.9137105507873,1473.38068595499,1247.6269367463456,1346.3179621641052,2733.3395938078415,2569.170465191294,2385.925445939791
2018,1071.6039291125592,1195.0907036548194,1044.414808892746,1043.8243621316014,2104.1875176609274,1231.4805101614477,1677.1437581635228
2019,1247.4729875546436,934.2760913062982,833.6637588641096,895.0966720243719,2124.736484348549,3091.6963519727733,2011.3559757900698
2020,1012.48006276287,602.2696921315503,873.095590461526,705.3221438642781,2049.9520591629193,3377.3536008767664,1880.5942897223313
2021,914.442174148678,676.7167081716198,966.3996961404946,850.2733735699113,1773.0175881020928,2318.473242670422,2004.5260690615644
2022,778.5189153681057,1176.618217952163,896.9465137126648,950.606151025445,1478.078359647352,2305.751535224656,2634.423369518038
2023,1147.8804508856624,755.4024855724422,864.6951514823928,965.3397491057867,1954.4430137723466,2667.7289369227724,2718.9019817989965
2024,1036.556815315672,929.954075826648,685.6020396534554,1080.568335804353,2653.663938042362,3686.8353180009335,3175.195199216795
2025,1079.4410339895446,851.1750812566268,644.2240921129415,936.7423799795163,3194.2856027570238,2507.2431666540206,2019.0424268247489
2026,957.1944565929485,1043.8450205592737,846.1228176381456,1011.8177050523574,3215.3425845503157,1642.8812690894288,2729.0436868491215
2027,568.0537477445873,1424.0467223479925,845.9914016335075,1069.0260124283398,3285.4753354134455,3190.6225819370848,2261.317841602795
2028,973.0495564276441,783.094078028854,905.4261983346796,940.14462367728,1647.5915323392082,1818.868330149648,2859.650128071187
2029,1177.8488354324666,734.1228243223508,678.7264990473824,1128.3820187016922,2281.3237010486514,226.46907933350667,1210.0761149891607
2030,869.8972376668614,769.5017091860815,711.9111430360539,916.8692949648456,2174.9399716671437,2509.4000801595694,2686.150526026581
2031,992.4896021444297,1139.8373793573346,826.1378557932821,1034.5603267544298,683.9897009003255,-232.24143319308132,3377.1827922465973
2032,1077.9734016912253,1127.3878642654524,959.0637056462092,952.0853161377006,3041.585403477247,2841.049128699327,2257.3175994022035
2033,1060.6046682482568,802.1751900405352,1002.4357994646257,932.037363054902,2574.514317979763,4250.9241801444905,2381.267322558264
2034,979.131098130965,904.9343964575047,872.2638007642829,768.0425278836983,1988.5750036459988,4112.005968624859,2493.333895886029
2035,888.1831043611818,562.0797116430203,812.6917661791294,643.7777797611247,1945.3711112022686,4917.621545094404,2141.7856585148684
2036,752.2496598175067,978.8627660491891,974.1393126147279,1203.339971623544,2581.430556477487,3510.743458189922,2871.141755261424
2037,798.6186054634811,1341.207477363773,1018.2843900310686,604.0793099683154,2409.6351560119083,4326.683145947316,2899.7634186872247
2038,642.8720966804467,1767.60533672549,790.4707741325666,983.9288242683667,1741.5889622737354,2131.090860418027,2797.5498875701833
2039,1213.3504598687402,1282.5379009875255,797.652681956343,947.3898422171341,2462.044566210113,3464.899943994788,2549.2425228157767
2040,691.5335348320004,640.928448535271,1061.4564320752759,695.6677291386404,2580.981841766306,2629.7914838470947,3302.387267615011
2041,1297.1589979756054,1167.7136513846272,1122.397682125222,807.2141134816769,1498.8506410292541,2843.3370889419725,1731.8187264365615
