,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT
2017,990.1781178937154,889.5055909335033,668.3221424123263,421.7897191589134,2168.8247164842305,2040.4419353981016,3598.695549786033
2018,830.6249744705017,492.3831519060253,653.2784501708746,758.8553998688153,2457.8947909820695,1204.54546510161,3427.936470576789
2019,538.2846577546605,1247.1073586749615,741.2903035177633,842.639188002079,2190.9642670010276,3174.8300330241527,2313.873066313637
2020,1315.1971296072427,1074.5114903115266,939.4300018450014,807.0763841909728,2073.8672925271853,3129.402912860346,2411.296554090091
2021,946.953643600936,1302.1695356535995,1118.3493683814463,1061.1339742775517,2499.690310596863,6157.794303277217,2701.4769275029275
2022,1027.2858686730099,1213.4466523592332,694.5338747807432,578.3772734230716,2427.0516380798267,2923.729714557831,2703.5772511381747
2023,980.1244362066961,1063.8251054211357,681.2596267204954,831.6761740354438,1853.855934322442,3239.6678062478004,2161.6518632384896
2024,1021.14242420882,1021.2729688723924,1050.9019197903478,967.4903670898275,2916.3553763292334,2675.9483890274378,2917.4509168877807
2025,1056.3066914401013,1277.9126351594402,705.1267161705603,1058.5087047569123,2360.0258337657833,2392.8309380166133,2644.442230846071
2026,1023.0069722047276,1298.4612743039986,738.4199527284795,587.2335834876134,2213.7860220027405,3404.7440878656353,2254.212699674976
2027,755.2832670947082,1727.7528456212212,947.0252728380915,677.9820211274185,2477.0247021411196,2693.55689528368,1651.533008779714
2028,1080.2861955879757,1024.205355635009,1010.5128688492331,503.7862701919656,2369.251075710673,3838.9269450938637,2988.6297041899597
2029,1194.663357484181,1179.5481419253044,811.2622598955908,889.8319182849258,2360.934052989224,4817.073742175959,3269.779011600207
2030,957.8892197966214,927.84740929562,1163.2046665199905,347.4628055885146,1971.98996934181,3167.680698703621,2137.041363541607
2031,1074.7853865045872,1151.6850991662031,913.624055433143,544.3711410403937,2717.395973969168,4036.1767815304693,2548.2983701498115
2032,1145.7750936661791,1174.6004283628138,815.6238458895198,566.9255244517212,2641.2266974321756,3702.995282974425,2552.69493127851
2033,901.4555325476061,1330.9203763028977,710.8623713718907,597.2038070972553,2336.1830902008223,2756.772229590476,2329.997026963985
2034,993.2130598834723,1315.3162224962407,1284.0999155283703,684.1899556148016,2492.457774843453,1944.6795139274984,1946.924095021856
2035,1022.4356388316642,874.3913181927205,959.9952285066835,670.6703329531045,1571.8305203762748,3050.897457539697,2516.137198358988
2036,1039.143654926159,1193.7856193821249,754.379380051797,759.664322740578,1115.9462586115208,2893.1737530323257,487.5918108702972
2037,856.9996105544269,1072.7288538622631,1289.5161718099187,864.9280569121535,2022.9750361854494,5717.452882550886,2040.7955489310248
2038,1022.0975632933713,1133.045682882025,573.6323689510336,1049.1460412825068,2401.4835421012303,5146.856430602116,2214.1665869602775
2039,936.2590688912875,981.8156006900924,733.635171729217,974.0911882037454,1525.4188530934937,3633.232932319724,1506.296702383677
2040,921.0010898003201,996.1326849958267,871.5586340942573,1073.432764074784,3788.881927049847,1393.485474282348,1438.6234971769218
2041,873.4097884291114,1408.376373841256,926.4382499177225,736.2867184063514,1857.5236017898278,2151.9966638737137,2050.0619720794452
