,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT
2017,1025.881219196659,1107.1944677943216,701.1922171881039,1172.3710882051096,2442.926079436773,3222.791190062101,2918.086888168535
2018,956.3440765665221,848.2785750918719,979.4180853237164,689.599873170206,2786.017864394505,1379.5516374301237,2678.7598305114516
2019,965.4384643565717,1218.0925504520933,948.475229552588,1096.8407321060201,2300.587318637174,3788.858447891213,2619.7531166797608
2020,1063.7329588440336,1180.3622847861843,705.1638784899712,549.789405815731,3175.3483372140645,3457.438522954199,2535.852851344536
2021,1030.0402097256144,741.366358216857,741.5365333022049,970.6001331720873,2137.0581065152533,5382.005730465942,1440.5781643296764
2022,1159.5322819635862,1206.939455984241,850.7581953951885,860.0845767301316,2585.348001211685,2857.3534706193855,2583.502413990081
2023,1080.9660304203317,1425.4614010532914,820.936192493144,477.17471364703255,3310.4080916353896,3426.11712955496,3148.5955304628465
2024,964.4041801026829,366.2245538844037,655.8471860947221,388.69458590931333,2404.903133767217,3799.1676246011766,2105.5686802850973
2025,1068.1659096905355,843.6813497732464,1019.8777427252039,964.9143661628912,2909.9709230112826,4579.30748435836,2738.010052935106
2026,1082.746329512281,383.9641957715372,736.4114554361099,671.5190517577961,1753.2359979779203,3454.4273082038426,1579.535430109033
2027,865.5430554163906,922.1957225571584,867.1385482314367,1299.0914942073177,2575.773759063746,3506.313044031628,2389.7603671648094
2028,1053.9445065255866,1284.5396154629311,621.8306347518385,853.4194443670921,1816.1393654342137,4033.042696547355,2540.3134300782613
2029,942.7285227188443,610.7468091492588,726.21909306914,1065.145124604819,2363.104318344712,4475.070001730364,3019.3773816452376
2030,1172.763599172603,1241.6873478954446,841.1066827367331,876.5935190342187,2981.13729042404,2039.99571940801,2758.9234242315088
2031,1148.7359096004539,748.3571198440054,925.4934096974789,898.9836438515608,1861.1186910811334,2616.4978260570374,2666.0222373799215
2032,822.778434610759,958.5172387141625,868.6610090507882,1076.0903902022376,3077.741968288708,4799.0466304429,2735.429678790937
2033,1003.0306023033438,1089.757419988626,728.7321926893223,796.3128971120815,2990.509680678072,3156.456569441888,2853.9260027041482
2034,719.9619194957234,1208.6680180788674,921.8451640980102,527.9782069580507,2834.6946028029133,4452.620382528077,3456.817335191262
2035,866.9577715042069,1021.7998303739981,1207.1616637377915,775.0068667935356,1329.0757115555555,2784.9739481639076,2798.16429650434
2036,1001.8391863024458,1192.4143255877111,821.3152840230091,928.8421676279199,2765.537796240063,2669.616916829006,2250.813126479106
2037,725.3488705279196,1108.218758985848,546.9837959762314,1056.4097629860075,1654.891527158637,3858.104535893456,2219.159119849238
2038,890.7092281475125,1020.8281814221484,754.2268602108034,887.4180900051457,2841.4408754387878,2999.539181493453,1674.064428630938
2039,840.762919906176,1137.6830136321628,818.7702796266155,1078.6517931643773,1783.1411342470094,3241.3674703367724,2358.834287461688
2040,994.3130408269452,571.3501826939023,1277.7301516215998,801.1066922690743,2120.553613751897,489.1116563367923,3023.969098959524
2041,1110.1683107141234,788.4798013039067,810.5325217182042,501.9329710241761,2706.147420590898,1101.3516002580448,3227.1262521432823
