Dist Code,Year,State Code,State Name,Dist Name,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT,Inflation Index
1014,1998,5,Karnataka,Haveri,,,,,,,,99.99999999999999
1014,1999,5,Karnataka,Haveri,1099.5343443835009,,,628.0452794905758,,,,100.00000000000001
1014,2000,5,Karnataka,Haveri,855.9647122919519,1033.6500018695226,584.3112407262425,565.5176043286149,,,1778.5614081754927,100.0
1014,2001,5,Karnataka,Haveri,848.0930099587765,1117.7930859226785,799.3520323749387,688.0601335585093,,,2081.239742829871,100.0
1014,2002,5,Karnataka,Haveri,1092.396769843,1105.080622032759,867.2583934747764,818.1084662394601,2259.3111713008343,1804.2779739932278,2582.7494021396906,100.00000000000001
1014,2003,5,Karnataka,Haveri,922.7751568185967,1062.772040316361,808.3691014870903,757.1874451545744,2087.9105097999895,1637.060331223856,2471.772932293859,100.0
1014,2004,5,Karnataka,Haveri,780.8670144267282,591.651499176852,796.8703167115438,706.0280419771503,2352.014750506547,1464.3021590606097,1985.3508540397468,100.0
1014,2005,5,Karnataka,Haveri,760.2056653197876,582.6888343805858,801.7617682368526,593.5295568806898,2634.747264296091,1905.2569793932644,1945.9096887686542,100.0
1014,2006,5,Karnataka,Haveri,718.3432358098678,948.8276964975258,792.6104509203353,815.6588969891012,2846.4830894925776,879.6823582912284,1308.639549015481,100.0
1014,2007,5,Karnataka,Haveri,987.890880094092,1361.0941014629711,935.447290163171,869.5878981568983,2685.5996518113466,2699.015453886698,2407.5266633404167,100.0
1014,2008,5,Karnataka,Haveri,963.2948632778914,755.8332221761336,887.0386924945426,1045.1581054423687,2333.663108825718,2759.800533791491,2278.713809290658,100.0
1014,2009,5,Karnataka,Haveri,1053.9803168135004,955.3750896687861,924.6979078904307,986.0522714471417,2109.0562472619417,3864.229290437854,2442.1227922840876,100.0
1014,2010,5,Karnataka,Haveri,1049.6666666666667,972.0,1088.0,900.0,1925.0,2779.0,2615.0,100.0
1014,2011,5,Karnataka,Haveri,1038.9399706928068,996.1582983943485,1119.9358769660444,822.1388982621859,1758.4637546163422,2456.3683304744645,2776.089013131981,100.00000000000001
1014,2012,5,Karnataka,Haveri,1042.8013977468174,1029.1811345925735,1110.0514470708981,766.1398024262332,1638.687910744999,2390.356183569848,2761.508354523001,99.99999999999999
1014,2013,5,Karnataka,Haveri,1060.0368086287747,1049.8079110340834,918.9856944282976,726.7900922543655,1554.5232528773927,2648.7461139936872,2287.7737015073526,100.0
1014,2014,5,Karnataka,Haveri,1094.1412879318739,912.6091580369639,916.5158753230811,703.2091115010852,1504.0861551550988,3487.135849588159,3219.916387217747,100.0
1014,2015,5,Karnataka,Haveri,1209.7030722429756,1169.8674199984152,1131.6577127434289,731.6752453082513,1564.972052464871,5286.76013359951,3245.3861991894883,100.0
1014,2016,5,Karnataka,Haveri,1458.430699138824,1646.326678782476,1205.4625187527813,732.0622583518915,1565.799830363768,2948.584096139563,3438.2524067260506,100.0
