Dist Code,Year,State Code,State Name,Dist Name,PADDY,SORGHUM,MAIZE,FINGER MILLET,CHICKPEA,PIGEONPEA,GROUNDNUT,Inflation Index
73,1990,5,Karnataka,Bellary,,764.9446003741116,678.7536594868877,,2794.0230004275063,3034.639377071006,3282.4383321217747,100.0
73,1991,5,Karnataka,Bellary,,993.6047950066229,1003.0978344493612,762.6075018999876,2559.9563030584645,2993.47177094352,3044.1013146381247,100.0
73,1992,5,Karnataka,Bellary,,690.2171566649517,844.3845133790495,734.9115463178462,2275.736485807187,2319.582247808444,2475.1639839419377,100.0
73,1993,5,Karnataka,Bellary,,739.5875063384952,736.9555223301732,733.2707447185223,2105.5872066576376,2179.282758890655,2558.2884560890298,100.0
73,1994,5,Karnataka,Bellary,,1085.7269096161676,909.5343848100351,708.1034713154565,3173.846426575332,3250.0377886536594,2642.8878720919865,100.0
73,1995,5,Karnataka,Bellary,,964.6631472657099,855.7846882063748,688.5473750912358,1844.4010964651384,4141.736582617112,2530.33538853895,100.0
73,1996,5,Karnataka,Bellary,1298.51405969235,896.2456591777055,873.3184446406013,698.237897266352,3343.2047379559062,3230.6529575010313,2426.116156471742,100.0
73,1997,5,Karnataka,Bellary,929.1979439455242,795.6008146658029,741.7631655530794,695.9014644570557,3246.21084279681,2568.2552613773287,2255.1993017218624,100.0
73,1998,5,Karnataka,Bellary,922.7891351327003,930.3221076643958,689.894734361114,654.740862546535,2423.733912073031,3534.8473604981195,2310.7393240975985,99.99999999999999
73,1999,5,Karnataka,Bellary,935.6964453859594,853.7774958871886,656.5652100568146,630.4725076238727,2796.166809558042,2930.877970956021,2215.452478666756,100.00000000000001
73,2000,5,Karnataka,Bellary,919.1796710839722,758.5795055042447,606.5219019234389,589.4367779255956,2434.630169692677,2082.6766153371045,2019.461656545084,100.0
73,2001,5,Karnataka,Bellary,874.08819800349,680.7489869209336,667.7513928985769,537.7754526750097,2547.5284283819187,2446.7970747086542,1965.886095881455,100.0
73,2002,5,Karnataka,Bellary,1060.6871393686022,848.2326151901378,786.3988357650624,580.2862376814775,2270.409541966874,2313.2175431073106,2126.1307233083644,100.00000000000001
73,2003,5,Karnataka,Bellary,1204.2742666474344,826.4332154868018,736.1126454882443,832.454586820039,1950.9243119688438,1877.9151845533431,2420.5912759613434,100.0
73,2004,5,Karnataka,Bellary,1131.0569232473947,677.7869202980643,769.5705657550939,827.9355505585384,974.3186979284674,1462.8901029766555,2362.369828455545,100.0
73,2005,5,Karnataka,Bellary,1089.4926112604442,640.9577178186445,737.1691300070668,839.7042969872164,846.931445320619,2742.7027925262923,2326.6900665848043,100.0
73,2006,5,Karnataka,Bellary,955.2300426277386,897.6089274558241,836.1464046057819,836.1464046057819,2623.6814441611746,2309.9664837807513,2600.632998092409,100.0
73,2007,5,Karnataka,Bellary,1148.8805049983143,864.7094246749522,890.3214104551694,782.9949938523544,2689.258506922806,2673.403468106481,2912.4486687218414,100.0
73,2008,5,Karnataka,Bellary,1276.1694463448666,898.2528352567997,884.7958639420912,801.811207501388,2250.678452385015,3246.4943296734523,2555.7031355184104,100.0
73,2009,5,Karnataka,Bellary,1178.8802711968049,1153.6811575931558,876.4909079530148,799.7979535071261,2010.4510201172277,4570.900084974973,2712.739360114581,100.0
73,2010,5,Karnataka,Bellary,966.0,1993.0,886.0,796.0,2618.0,3120.0,3210.0,100.0
73,2011,5,Karnataka,Bellary,975.604825937794,2679.2593206699903,1029.500598157204,787.4263670022269,3309.565809337666,2857.389415293464,3606.449300376789,100.00000000000001
73,2012,5,Karnataka,Bellary,995.9817431541032,2176.2626721140728,1089.6210523395318,943.6288566549773,2977.730032096627,3067.9642754934944,3743.01856807572,99.99999999999999
73,2013,5,Karnataka,Bellary,1027.1966637195032,1760.447112349463,993.2797927476328,1094.2228611162946,2097.193188427319,3264.0950587690504,2742.4212814398056,100.0
73,2014,5,Karnataka,Bellary,1073.5659102249901,1409.1529251024524,918.0785622375279,993.087534130977,3071.4611303452957,3509.7948098476386,3427.753746839179,100.0
73,2015,5,Karnataka,Bellary,1199.9474023055323,1160.1117500609719,1156.859860081824,1117.8371803320506,3864.871240217141,4916.8576484714495,3838.043147889172,100.0
73,2016,5,Karnataka,Bellary,1556.8524027616893,1422.6409887305092,1223.3573739569388,1451.1100765553049,4536.345794253888,3273.945099851515,3786.388680697839,100.0
